"Dashboard","Dashboard"
"Ask Question to Admin","Ask Question to Admin"
"Lifetime Sales","Lifetime Sales"
"Today","Today"
"This Week","This Week"
"This Month","This Month"
"Latest Orders","Latest Orders"
"no order placed yet","no order placed yet"
"pending","pending"
"PENDING","PENDING"
"canceled","canceled"
"CANCELED","CANCELED"
"complete","complete"
"COMPLETE","COMPLETE"
"processing","processing"
"PROCESSING","PROCESSING"
"Approved","Approved"
"Unapproved","Unapproved"
"Review On","Review On"
"Latest Reviews & Comments","Latest Reviews & Comments"
"no Reviews & Comments","no Reviews & Comments"
"Price","Price"
"Value","Value"
"Quality","Quality"
"Product Name","Product Name"
"Comment By","Comment By"
"Summary","Summary"
"Sales Chart","Sales Chart"
"Subject","Subject"
"Ask","Ask"
"Reset","Reset"
"Fill all the fields","Fill all the fields"
"Mail Send","Mail Send"
"Back","Back"
"To add product please request for become partner with us","To add product please request for become partner with us"
"Edit Product","Edit Product"
"Edit","Edit"
"Product Category","Product Category"
"CATEGORIES","CATEGORIES"
"Product Name","Product Name"
"Description","Description"
"Short description","Short description"
"Price","Price"
"Stock","Stock"
"Weight","Weight"
"SKU","SKU"
"SKU Available","SKU Available"
"SKU Already Exist","SKU Already Exist"
"Image","Image"
"Add images","Add images"
"Base Image","Base Image"
"Small Image","Small Image"
"Thumbnail","Thumbnail"
"Action","Action"
"Yes","Yes"
"No","No"
"Save","Save"
"Sorry! you are not authorized to edit this product","Sorry! you are not authorized to edit this product"
"To edit product please request for become partner with us","To edit product please request for become partner with us"
"Saving","Saving"
"This is a required field.","This is a required field."
"Sure Want To Delete Image","Sure Want To Delete Image"
"Order History","Order History"
"Order","Order"
"By","By"
"Product List","Product List"
"Status","Status"
"Qty.Conf","Qty.Conf"
"Qty.Pend","Qty.Pend"
"Qty.Sold","Qty.Sold"
"Amt.Earned","Amt.Earned"
"Quantity of product from orders that are in pending state","Quantity of product from orders that are in pending state"
"Quantity of product from orders that are not in pending state","Quantity of product from orders that are not in pending state"
"Quantity of product from orders that are in completed state","Quantity of product from orders that are in completed state"
"No Product has been added yet.","No Product has been added yet."
"Are you sure you want to delete ?","Are you sure you want to delete ?"
"Add New Product","Add New Product"
"Cancel","Cancel"
"Delete","Delete"
"Extra Details","Extra Details"
"Select","Select"
"Pending","Pending"
"Want to be Partner with us","Want to be Partner with us"
"Payment Details","Payment Details"
"Manage Products","Manage Products"
"Manage Commision","Manage Commision"
"Manage Partners","Manage Partners"
"Configuration","Configuration"
"Percent per product sale","Percent per product sale"
"Product Approval Required","Product Approval Required"
"Partner Approval Required","Partner Approval Required"
"Attribute Set ID","Attribute Set ID"
"Admin Email-id","Admin Email-id"
"Enter Percent within 0 to 100","Enter Percent within 0 to 100"
"Manage Commissions","Manage Commissions"
"Partner's Products","Partner's Products"
"Partners Order","Partners Order"
